,TotalPop,Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,Total; Estimate; AGE - 45 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 74 years,Total; Estimate; AGE - 75 years and over
1619,11625,615,472,431,513,1237,1884,1197,1053,1378,644
1620,1965,70,102,64,84,187,362,211,170,275,173
1621,29518,1395,1660,1468,1566,2986,3682,2210,2265,3301,2224
1622,66290,3192,3940,3804,4340,7461,9337,5335,5053,5930,4104
1623,2245,103,133,139,147,209,337,166,152,239,284
1624,19249,824,765,762,824,1856,2743,1959,1782,2920,1683
1625,1728,50,83,108,85,129,258,187,139,191,207
1626,7902,301,370,358,377,753,1056,680,886,1179,739
1627,2000,135,57,86,94,198,258,223,141,229,177
1628,4194,252,237,80,160,397,599,321,478,665,422
1629,114231,6004,12945,9166,8303,13250,13536,7924,6571,8733,5766
1630,4766,263,130,186,221,437,702,428,450,620,378
1631,16001,696,664,718,921,1963,2460,1369,1378,1797,1162
1632,453,24,15,5,22,63,76,54,46,60,19
1633,4139,221,176,177,238,363,667,419,240,428,438
1634,6081,345,320,341,321,627,836,456,414,622,591
1635,1610,78,77,99,68,151,269,153,155,222,201
1636,6852,269,437,455,425,966,1181,537,544,746,515
1637,1325,64,37,37,45,173,123,169,94,211,158
1638,41387,1809,1736,1684,2002,4247,5860,3160,3861,5375,3547
1639,11405,619,648,703,724,1381,1550,906,689,854,635
1640,11218,665,909,648,662,1155,1315,640,674,595,589
1641,9292,588,503,530,490,1098,1191,747,607,756,460
1642,11414,509,410,392,479,1012,1502,1182,1126,1802,1038
1643,3568,158,149,194,220,335,495,335,292,393,381
1644,34514,1831,3055,1880,1979,3789,4841,2683,2392,3179,2593
1645,9342,490,342,337,492,1055,1340,890,824,1099,666
1646,3646,192,113,204,134,387,478,283,280,417,384
1647,6040,338,284,264,311,616,825,477,398,701,617
1648,5031,239,375,289,345,616,838,470,364,397,377
1649,790,66,38,43,24,64,133,68,89,80,86
1650,7561,296,385,356,376,819,985,639,585,809,799
1651,2108,109,81,60,132,232,217,216,116,295,228
1652,1121,55,61,45,25,74,161,37,111,111,155
1653,156332,7333,9653,10713,10590,18581,20678,10809,9820,12559,10502
1654,31564,2303,2242,1900,1801,3238,4210,2089,1955,2644,2484
1655,6406,330,288,305,343,598,881,517,514,684,729
1656,421,13,14,21,16,55,53,30,35,42,42
1657,728,26,39,55,34,56,171,77,93,82,59
1658,502,40,19,25,35,62,85,53,25,44,42
1659,5357,291,265,255,268,480,770,388,417,500,648
1660,11200,552,577,515,652,1209,1508,950,902,938,848
1661,2049,87,66,68,98,179,256,164,179,281,248
1662,3058,134,63,167,148,323,430,245,240,358,397
1663,48834,3081,5600,3455,3313,5423,5342,2866,2615,3183,2830
1664,6546,273,292,280,310,635,924,572,446,705,873
1665,8105,423,392,354,434,866,1258,607,566,790,878
1666,25513,1490,1195,1188,1397,3111,3904,2081,1672,2246,1702
1667,8561,493,399,362,412,818,1235,687,563,818,1014
1668,3803,115,186,188,198,443,513,288,298,355,490
1669,5792,159,298,378,349,676,723,449,421,593,633
1670,10012,407,511,713,667,1129,1518,704,639,761,847
1671,6264,324,310,327,364,634,898,527,445,634,559
1672,10616,608,594,627,720,1171,1418,539,629,709,692
1673,9039,447,563,364,470,935,1196,741,484,846,1062
1674,10836,592,488,513,563,1183,1499,765,790,1113,1125
1675,20529,1069,1527,1388,1298,2421,2643,1367,1117,1416,1082
1676,8972,1009,1180,561,490,799,921,606,560,749,836
1677,23925,1483,1434,1507,1450,2888,3029,1633,1257,1795,1733
1678,1901,68,115,74,115,184,278,148,120,218,247
1679,5765,306,264,272,303,646,757,487,407,577,526
1680,36576,1862,2158,2132,2232,4450,4713,2329,2252,3312,3505
1681,549706,28839,37041,44007,42120,69443,69583,32790,28674,33678,26697
1682,2017,90,105,59,102,227,261,188,140,228,215
1683,5603,298,280,249,320,528,834,501,373,610,697
1684,3019,132,167,126,128,296,453,248,254,374,409
1685,2624,186,197,82,102,266,341,201,190,267,273
1686,4814,247,199,208,211,513,615,400,389,557,571
1687,21632,970,1115,1042,1187,2407,3219,1735,1446,2085,2329
1688,1913,51,43,96,77,213,272,132,180,240,244
1689,1958,61,118,81,101,120,244,158,166,254,278
1690,2019,116,85,85,81,173,368,190,99,210,185
1691,682,62,49,40,14,62,129,59,52,83,86
1692,2436,130,87,119,109,233,325,189,169,258,321
1693,61233,3403,3734,3911,4039,7660,7808,4033,3186,4293,4108
1694,9149,544,440,440,471,992,1347,726,606,810,786
1695,3469,156,154,139,164,347,435,344,250,430,409
1696,957,58,51,94,70,64,126,100,99,145,108
1697,2860,115,129,143,167,266,372,265,198,333,343
1698,10293,516,440,445,518,1016,1527,844,751,1013,1127
1699,684,8,25,31,55,38,50,63,65,116,128
1700,6385,324,269,294,359,745,892,442,442,655,612
1701,7276,371,331,363,367,778,979,561,615,811,844
1702,5200,158,401,314,414,608,858,409,266,434,454
1703,6547,286,308,330,381,792,911,516,397,610,607
1704,8129,323,364,368,398,793,1260,612,649,1106,790
1705,720,24,34,34,28,58,109,62,66,87,97
1706,3688,181,121,207,160,350,474,247,251,491,434
1707,8496,459,350,312,374,783,1194,647,640,930,1082
1708,306357,18277,33689,21934,21642,35939,35375,17912,16226,19699,15384
1709,35569,1838,1814,2077,2217,4261,4723,2925,2210,3039,2954
1710,919,34,44,41,29,77,127,69,44,113,72
1711,537,16,19,24,21,43,86,60,51,73,61
1712,432,16,9,33,15,38,91,36,27,24,63
1713,35062,2000,2496,2287,2226,3847,4713,2734,1657,2723,2699
1714,7829,363,431,347,413,853,1144,627,510,834,702
1715,4903,209,221,264,261,569,643,416,304,460,439
1716,3569,174,180,172,187,376,532,266,314,326,401
1717,7041,603,607,456,391,620,912,459,550,647,647
1718,4318,138,207,178,233,429,569,387,298,539,607
1719,15875,842,902,816,849,1761,2178,1078,1101,1493,1567
1720,2704,92,145,109,117,260,354,271,152,326,384
1721,2904,104,159,158,158,302,375,215,232,283,334
1722,9163,430,444,510,536,990,1295,612,591,850,954
1723,7175,403,338,352,409,771,1074,496,467,653,658
1724,32875,1739,2054,1901,1983,3687,4402,2231,2031,2545,2468
1725,5244,263,261,196,243,579,738,422,435,512,551
1726,10870,663,715,535,635,1216,1435,848,665,948,1109
1727,8045,330,368,443,356,846,1166,727,517,884,1014
1728,1381,68,72,69,49,125,200,159,108,148,195
1729,14325,1090,1438,501,800,1785,1795,932,867,992,1065
1730,175188,8760,10818,12388,13126,23864,23084,9716,7837,9960,6546
1731,20953,1092,984,1010,1168,2329,3273,1556,1326,1881,1628
1732,36509,1715,2203,2181,2261,4136,4626,2345,2569,3187,3187
1733,17045,1321,1379,835,904,1860,2254,1106,1060,1424,1340
1734,5241,234,164,210,313,519,629,446,395,603,675
1735,3048,120,140,111,129,303,416,294,213,374,423
1736,1256,57,81,37,93,103,134,105,126,144,157
1737,6020,313,284,326,359,695,858,516,356,475,433
1738,5133,247,222,194,238,473,719,442,386,618,711
1739,643,51,24,16,35,101,82,67,57,78,44
1740,7055,442,472,403,393,653,779,376,354,423,415
1741,4252,160,234,186,227,419,534,358,243,524,499
1742,20414,1193,1121,914,1172,2318,3193,1533,1365,1738,1400
1743,9409,1125,1500,462,509,871,1021,667,380,602,681
1744,3597,210,166,142,159,350,543,259,285,409,457
1745,846,57,42,39,15,127,131,90,54,95,81
1746,13832,800,912,835,785,1470,1831,1013,920,1226,1319
1747,24022,1236,1667,1493,1580,2567,3300,1725,1459,2442,1688
1748,2112436,100500,137185,149937,151529,290753,275424,123140,110361,161923,98600
1749,47632,1952,2198,2208,2241,4834,6779,3844,4420,6696,4400
1750,52377,2916,3590,3861,3511,6690,7272,3421,2724,3054,1579
1751,1102,30,76,87,61,116,129,70,81,165,134
1752,1728,83,8,94,145,223,287,104,145,154,89
1753,17088,1093,1004,1061,1090,2213,2380,1075,1264,1022,663
1754,5887,228,384,383,308,596,833,609,266,537,280
1755,5203,399,287,363,301,669,609,242,307,604,397
1756,52303,2429,2555,2690,2893,5910,7222,3743,3903,6194,3541
1757,4471,157,290,313,284,337,652,355,441,569,463
1758,43296,1730,1873,1755,1906,3812,5861,3710,3605,7007,4341
1759,6661,262,426,500,542,1098,1119,371,409,664,310
1760,3891,152,73,105,66,427,781,485,404,693,341
1761,445551,22302,32142,32512,28768,54244,59777,29603,27701,37784,22870
1762,9858,661,417,654,713,1266,1466,754,639,816,668
1763,54219,2512,3505,3323,3262,6372,7771,4095,3728,5595,4423
1764,60383,2918,3017,2968,3195,6823,9502,4973,5152,6781,4645
1765,47524,2078,2190,1936,2014,4960,7642,4213,4426,6529,4599
1766,76109,5736,5819,4508,4014,8299,11318,5726,5719,7216,5485
1767,32119,1417,1552,1523,1620,3658,5028,2821,2632,3750,3038
1768,89280,6070,8138,5578,4677,9516,12624,6921,6669,8769,6696
1769,406371,21274,25363,25575,25209,53150,66529,29716,24730,30736,23262
1770,147958,8513,9613,8234,8232,18200,23631,12135,10097,12735,9882
1771,302479,15667,16026,16628,15817,38247,53399,24535,20830,25838,17667
1772,126552,9202,13511,7903,7302,14940,18222,9055,6604,9382,7167
1773,43073,2033,2230,2190,2306,5281,6757,3613,3459,4566,3221
1774,272926,14757,18894,16636,15769,33529,41941,19101,18156,23915,18367
1775,937920,46780,51192,51776,56659,126627,146138,68397,54872,76555,69498
1776,449192,22940,28958,27146,26664,57691,72490,33198,26526,36969,30961
1777,510996,25670,33287,35132,34181,65862,74910,35999,29279,39054,31898
1778,94549,4722,5536,5093,4412,9224,13991,7245,8414,12319,9962
1779,154952,7619,10661,11466,11619,21553,21699,10035,8282,11730,9257
1780,800401,42326,54077,53329,54465,113213,115564,50076,41834,53132,42997
1781,291372,15448,19683,17336,17212,38180,45567,20223,17821,22864,16835
1782,679756,28062,46895,69574,69823,103227,85394,35693,32195,39679,30712
1783,125717,7224,7145,5174,5145,15174,23934,11574,8485,11119,7951
1784,373362,22929,28405,23289,23458,49732,55007,24111,21966,26769,22930
1785,837288,46426,57417,57466,58302,117062,120934,54719,46023,59199,49628
1786,627551,34454,35928,33588,32761,78126,106214,49193,39976,52363,42713
1787,498847,27517,26680,25785,27687,65563,85070,36895,30049,40708,34093
1788,589699,25896,32064,32046,30920,62426,76638,37636,36459,64593,61759
1789,510563,29030,37065,33972,33580,66996,72165,32915,27002,36211,28775
1790,63776,3436,3948,3749,3730,7766,9737,4873,4376,5883,4889
1791,333316,16980,17298,16805,19332,46021,56752,24519,19183,24600,20514
1792,143570,8066,8457,7055,7101,18311,26327,12220,10170,12645,7827
1793,557320,28125,34451,34467,36558,77330,83527,37508,28877,38023,32890
1794,107088,5757,6454,5589,5525,13464,18542,8268,6935,9151,7286
1795,674855,34503,49181,52055,48918,84320,89563,44368,40423,52462,39293
1796,3547,230,70,67,83,197,495,473,335,852,320
1797,65454,4327,4594,4219,4079,7334,8076,3980,3885,5140,4365
1798,27049,1338,1930,1871,2116,3373,3411,1756,1743,2235,1650
1799,12522,627,777,704,703,1199,1787,1035,1135,1694,1217
1800,50283,2903,4846,4458,3768,5888,5591,2504,2509,3180,2517
1801,2016,261,30,41,105,197,205,318,109,232,178
1802,213849,14882,22537,13899,13236,23221,24609,12729,10669,16382,12634
1803,56793,2891,3582,3834,3720,6343,7373,3475,3660,4131,3609
1804,28382,1453,1494,1369,1480,2733,3433,2509,2156,3921,2916
1805,4426,188,236,273,407,620,582,325,159,399,525
1806,546,23,32,19,23,11,41,111,80,79,63
1807,4446,439,222,220,168,551,645,361,271,438,422
1808,69505,3872,4872,4943,5076,8337,8282,3916,3073,4034,3249
1809,19497,679,919,962,975,1816,2678,1836,1724,3097,1936
1810,18031,1034,616,736,1101,2144,3048,1461,1244,1654,1325
1811,24319,1486,1448,1411,1231,2556,2770,1346,1607,2784,2260
1812,72849,4959,5945,5293,4683,8731,9071,4018,3651,4428,3140
1813,4605,228,260,249,172,494,493,419,320,538,483
1814,65130,3239,5741,4866,4129,7078,7967,3535,4253,5854,4420
1815,8447,478,461,259,646,790,1063,549,786,1174,852
1816,39455,2270,2388,2415,2252,4640,5441,2899,2808,3791,2563
1817,19313,1677,2451,1379,1223,2083,2067,1227,770,1325,1102
1818,138815,7159,7713,8017,8525,17694,18974,9819,8570,12285,7304
1819,128221,6805,8734,8799,8633,14652,15996,8842,6407,8787,6739
1820,28203,1856,2141,1668,1124,3482,4023,2210,2034,3027,1970
1821,147514,6729,7914,8144,8504,17602,20871,12111,12323,17341,9859
1822,11254,386,570,392,331,757,1555,968,1069,2221,1722
1823,17098,1032,1315,1070,1002,1515,2515,1158,1212,1671,1134
1824,32809,1285,1570,1583,1741,3739,4624,3118,2621,4296,2636
1825,15534,892,1030,868,837,1727,2261,1151,1426,1744,935
1826,4216,163,356,282,318,574,584,323,207,472,356
1827,75845,4280,4939,4510,4468,9103,10760,5483,4765,6774,4342
1828,308580,20378,31316,20378,19585,35118,42790,21819,18669,24132,21533
1829,47400,4360,4495,2516,2414,4874,6292,3332,3270,4340,3530
1830,1455846,85060,122136,113025,103143,184597,190468,79859,66094,88527,69468
1831,196124,13709,19040,11524,10898,20505,27579,14186,12378,17299,16900
1832,78175,4529,5121,4297,4310,8818,11348,5874,5634,7277,5850
1833,78319,4137,5335,4624,4751,9408,12350,5935,5433,7138,5954
1834,130846,8133,9811,7759,6878,14432,18839,9982,9075,12398,10958
1835,86883,4519,5815,5251,5464,10430,12862,6515,5818,7560,6833
1836,48763,2551,2890,2600,2629,5649,7574,4223,3175,5172,3896
1837,81224,5375,7968,4986,4994,9886,12418,5753,5141,6674,5296
1838,61481,2937,3441,3089,3010,6922,9967,5123,4976,7061,5443
1839,48334,4122,5812,2783,2642,5210,6549,3177,2883,4086,3132
1840,45950,3222,3025,2183,2162,4621,6814,3940,3559,5717,4257
1841,295685,19391,22720,16600,16192,36074,48402,21964,18487,24533,19869
1842,923995,50353,68588,65121,55176,104838,133454,69906,56109,77800,71941
1843,38233,1888,2274,2233,2147,4615,5999,3329,2757,4310,3559
1844,51054,2468,3731,3736,3591,6301,7935,3274,3483,4214,3214
1845,53955,2655,3030,3067,3336,6636,8505,4146,3616,5208,4266
1846,58537,3070,4049,3553,3270,6945,9337,5046,3282,5280,4783
1847,47791,2462,3183,2659,2510,5711,7607,3734,3628,5424,3946
1848,4646,300,273,213,140,350,648,546,419,735,495
1849,62943,3431,3988,3406,3471,7217,9416,4898,4398,6291,5439
1850,116567,5867,12326,10969,8928,13961,14024,6437,5600,7889,6090
1851,2635121,122486,193470,239599,221790,358326,323000,149914,133755,170664,138599
1852,26845,1371,1652,1509,1562,3133,4081,2087,1725,2347,2056
1853,64373,5076,6490,3450,3245,7165,9843,4845,4094,5480,4424
1854,71760,5733,6222,3663,3591,7874,11063,5232,5046,6353,4790
1855,748680,44583,57603,53538,46348,86969,107344,51940,45717,60695,51901
1856,49500,2391,3032,2998,2893,5915,6852,3947,3027,4422,4221
1857,1363069,75158,84438,76660,74450,167912,211071,98066,85932,111924,105770
1858,1653877,60734,124795,198827,169204,239798,206563,93557,90932,126484,103671
1859,212675,10944,14309,12906,12064,24739,32887,17260,14261,19299,16794
1860,232324,12787,16431,14516,13469,26782,34122,15878,15502,20726,19097
1861,467669,28987,34460,31718,28286,53739,68262,33666,28088,36708,33257
1862,109491,6415,7121,5623,5529,12580,16945,7865,8210,10622,8098
1863,378174,23565,27779,20394,21413,47828,56992,24190,20987,26251,19227
1864,41584,2254,2776,2606,2507,5006,6869,3467,2521,3742,2866
1865,119833,8006,9739,7170,6760,13983,18961,8721,7745,9835,6821
1866,60750,5473,6853,2888,2834,5937,8529,4566,4292,6148,4908
1867,99464,5380,5590,4954,4963,12875,18178,8117,6423,8611,5406
1868,2339280,101211,161223,190162,184070,329986,327182,151446,128424,168136,139767
1869,159800,9380,12110,10851,10067,19045,23721,11283,10874,13090,10375
1870,475948,24148,32478,31103,29711,62710,70201,33137,29036,38287,28102
1871,325027,18903,21085,18690,17935,36648,44060,20520,17625,25247,21176
1872,110817,8594,10784,6835,6114,12582,15369,7627,6876,9372,7321
1873,226632,11285,13259,12700,13250,29742,36065,17086,14038,19991,13990
1874,155239,8157,10494,9733,9576,19139,22864,11114,9541,12092,11661
1875,31611,2255,2324,1626,1589,3577,4774,2366,2570,3299,2348
1876,18112,920,1062,957,934,2117,2924,1588,1310,1935,1518
1877,34843,1504,2318,2520,2156,4049,5223,2789,2302,3271,2611
1878,97539,5124,5728,5351,5658,11550,14681,7342,6937,9209,7586
1879,1497595,83372,98111,85536,83672,194315,244867,105500,87185,123558,98337
1880,75783,4001,4617,4234,4387,9047,11951,6083,5038,7567,4811
1881,49322,2641,2758,2552,2727,5705,8079,3863,3499,4827,3896
1882,104415,12653,17886,7167,6254,10244,11579,6170,5637,7072,5200
1883,180129,10150,12769,10662,10155,22037,28747,13421,13449,17199,13089
1884,64701,3333,3785,3545,3376,7480,10332,5203,4838,7015,5454
1885,62183,3053,3974,3767,3570,8063,9883,4847,4191,5884,4536
1886,91442,4625,5503,4731,5152,10877,15131,7368,6073,8667,6079
1887,975321,53819,57283,53890,56342,128517,148698,68733,54843,76669,71566
1888,40886,1906,2605,2864,2784,5238,6742,3045,2775,3685,2530
1889,25083,1664,1901,1287,1230,2450,3363,1918,1809,2520,1956
1890,157844,9264,10690,9135,8875,19806,22217,10459,8911,13146,11060
1891,37159,1865,2283,2046,2140,4930,5451,2568,2412,4025,2588
1892,10935,553,575,424,442,1415,1509,888,863,1422,1058
1893,25531,1108,1989,1735,1712,3414,3738,1878,1611,2328,1756
1894,26833,975,1466,1428,1467,3150,3869,1990,2253,3477,2585
1895,17535,928,1270,1090,1021,2450,2599,1440,977,2012,1472
1896,47316,2189,2838,1994,2479,5435,6424,3699,3677,5990,3951
1897,19913,1171,1225,1103,1338,2097,3180,1647,1446,2109,1821
1898,34130,1429,2411,1486,1887,4303,4842,2702,2649,3692,2443
1899,122586,4147,4990,5646,5904,12483,14419,9006,11500,20216,9505
1900,252268,10891,15376,16541,17029,32444,33601,17652,17320,24160,18978
1901,88898,5150,5667,4785,4807,11378,13366,6566,6143,9160,6649
1902,196716,10271,10856,10607,12136,28723,27698,11222,9875,13670,9285
1903,81805,3776,5088,4068,4383,10758,12752,5509,6134,8413,5603
1904,10336,525,644,321,559,1526,1681,854,387,890,630
1905,68699,2718,3547,3855,3695,7880,9901,5569,5441,8650,5738
1906,22833,903,1433,1274,1299,2759,3577,2101,1543,2619,1735
1907,156182,7691,9457,8577,8786,20577,22990,11168,9316,14390,9952
1908,68364,2537,3142,2715,3406,8452,9291,5168,5067,8541,6685
1909,27463,1169,1129,1113,1192,2940,3578,2147,2470,4352,2683
1910,14370,724,743,808,810,1607,1902,1024,1222,1788,1357
1911,10753,469,436,376,452,1201,1201,950,888,1724,1146
1912,97038,5125,6674,5251,5117,11950,14223,6756,6467,9582,6630
1913,56589,2811,3668,3395,3086,7198,8047,4063,3708,5764,4067
1914,103374,5017,10696,7784,6342,11001,12133,6612,6025,9690,7595
1915,332766,17673,31601,30208,23911,38913,39214,17801,15238,19928,14009
1916,25247,1162,1251,1253,1257,3307,4273,1992,1690,2223,1248
1917,35412,1348,1552,1852,2035,4437,5296,2795,3172,3923,2226
1918,164118,7898,9301,8718,9232,21837,25158,12314,9748,15704,10747
1919,41766,2052,2099,1708,2056,5455,6381,3230,2835,4278,3284
1920,59350,2742,4011,3422,3474,7526,8144,4121,3700,5228,3886
1921,300865,14959,22008,26610,25886,41720,36170,16721,15793,17910,13032
1922,54032,2791,3709,3242,3158,6218,7585,4445,3553,5199,3839
1923,368362,20651,25252,23414,22897,46511,50478,24576,20630,28461,22095
1924,63866,3270,3866,3324,3594,8605,9272,4779,3690,5552,3544
1925,214049,10513,13273,12413,12457,29259,30730,14854,12291,17924,12724
1926,11601,571,718,579,618,1377,1900,1017,704,1207,784
1927,8607,651,442,318,435,966,1170,696,586,1057,788
1928,58503,3128,3828,2912,3274,7969,9427,3764,4106,5140,3409
1929,21059,1006,1346,1354,1506,2937,3083,1657,1274,1696,1239
1930,517197,30769,39664,35539,32876,66534,70164,33042,27983,38364,29506
1931,52300,2688,3456,2909,2843,6024,7812,3986,3817,5279,4230
1932,128753,6762,8589,9126,9527,17331,15755,7438,5468,8079,5337
1933,59854,2870,3096,3033,2902,6965,8543,4684,4208,7788,5794
1934,112156,4126,5442,5148,5836,13186,14410,8180,7706,14323,11872
1935,24262,1477,1723,1405,1365,2793,3504,1956,1652,2351,1806
1936,52571,2535,3295,4744,4724,7219,5971,2686,2325,2530,1470
1937,5507,317,261,416,348,682,942,480,339,624,319
1938,169798,8712,10054,9037,9508,22882,25882,11386,9160,13868,9423
1939,41725,3682,4665,2513,2476,4038,4785,2379,2970,4276,2587
1940,186308,9089,10328,9856,11392,27340,26190,10880,9702,13311,7673
1941,9776,428,515,682,512,1151,1387,987,636,1192,917
1942,59805,2993,3733,3693,3729,7551,8110,4060,3290,5003,3670
1943,57934,3129,3469,3244,3159,6861,8231,4469,4024,5714,4570
1944,80504,3760,4611,4022,4150,11185,12845,6037,5215,7595,4426
1945,45069,2177,2569,2487,2437,5830,6717,3420,2986,4660,3383
1946,34160,1311,1597,1682,1584,3589,4255,2465,2901,5050,3792
1947,21347,1309,1445,967,1082,2517,2933,1526,1679,2505,1656
1948,23227,1132,1364,1248,1071,2558,3336,2085,1841,2764,1963
1949,1034290,50076,67856,81970,82205,152592,135576,56277,47051,56886,39225
1950,15155,884,794,770,760,1690,2201,1065,1286,1959,1482
1951,27445,1343,1622,1432,1433,3500,3674,2089,1892,2900,2002
1952,94191,4074,4238,4486,5106,10568,12075,6218,6017,11201,10436
1953,94125,5213,5892,5349,5300,11749,13916,6839,6604,8620,6171
1954,219866,11707,20469,14806,14620,27343,27538,14222,12812,18945,13424
1955,20426,969,1259,1046,976,2094,3015,2016,1394,2602,2041
1956,192685,10423,32248,20352,13569,18547,16510,7269,6314,8989,6213
1957,141812,12501,17169,9455,7949,16693,18581,9187,7635,9142,5717
1958,12803,567,674,660,680,1345,1732,1007,1251,1895,1314
1959,39546,2344,3122,2676,2778,4781,5540,2664,2328,3421,2491
1960,57630,2879,2962,2889,3177,7189,8196,4393,3493,5642,3564
1961,13506,498,621,696,648,1447,1842,1078,1030,1950,1250
1962,39240,1639,2320,2049,1983,5074,5887,3080,2754,3807,2751
1963,176484,12868,24258,12423,11170,20948,20262,9971,8604,11208,7897
1964,20434,829,967,816,841,1973,2882,1543,1911,2898,2572
1965,142827,7006,8457,7812,7985,19110,21170,9482,9192,13184,8981
1966,45447,2405,3263,2726,2629,5796,6338,2710,3375,4134,2987
1967,134187,8436,10356,8521,8343,17069,17513,8632,7726,10412,6534
1968,91566,4275,5474,4715,4875,11756,13962,7125,6605,9276,7074
1969,138940,7066,9200,8058,8326,17416,19919,10061,8313,12543,9379
1970,66523,3359,3715,3465,3621,8186,9600,4892,4926,7401,5234
1971,63664,3410,3953,3442,3888,8326,8711,4433,3733,5709,4308
1972,35445,2104,2674,1954,2061,4512,4782,2475,2485,3190,2278
1973,60875,3153,3982,3394,3201,7770,8835,4117,3983,6059,4300
1974,46124,2199,2502,2284,2397,5868,7541,3775,3185,4993,3507
1975,72315,3647,4287,3612,3914,9300,10622,5186,4845,7557,5859
1976,14208,619,771,868,874,1727,1915,1112,794,1523,1026
1977,33291,1600,1936,1455,1432,3089,4343,2411,2736,4958,4122
1978,4090,246,175,200,234,642,588,346,313,387,417
1979,222095,13491,11793,9505,11518,32770,33820,12895,9963,14835,8431
1980,44420,2507,3015,2429,2601,5295,6002,3394,2937,4052,2948
1981,1023811,54227,64687,71406,73531,153151,141966,57566,45655,56984,36841
1982,20190,794,1327,1090,1039,2102,2875,1738,1617,2495,1787
1983,12331,774,736,489,569,1301,1719,1167,882,1494,1083
1984,53421,5770,11492,2987,2421,4640,5544,3280,2802,4282,2865
1985,124496,6610,9498,8761,7639,15364,16481,8684,7082,9893,7450
1986,68525,3294,3989,3286,3481,8741,10073,5317,4506,7685,5696
1987,81379,4125,5280,4733,4745,9988,11323,5740,5312,7408,5550
1988,37825,1983,2182,1821,1962,5115,5718,2716,2430,3897,2827
1989,17605,740,911,779,909,2185,2462,1292,1349,2273,1733
1990,2368,113,137,95,112,268,334,169,190,306,252
1991,10971,655,744,561,781,1140,1476,786,853,1085,1111
1992,6875,381,467,391,382,632,820,371,433,486,342
1993,983,33,67,75,66,91,155,70,97,78,85
1994,6651,370,422,305,331,672,896,471,601,764,630
1995,3226,164,167,182,176,314,403,247,264,305,343
1996,2253,109,146,130,196,208,271,132,134,196,179
1997,92372,4328,6502,6447,6546,10532,11826,6340,5129,6486,5980
1998,170620,9521,20163,14454,12981,19813,18932,9057,8322,8915,8042
1999,3817,141,188,153,174,339,553,442,204,480,538
2000,5041,245,373,251,295,531,652,318,351,540,596
2001,2378,44,91,120,93,216,382,301,139,287,298
2002,4349,226,225,277,252,417,575,342,358,363,330
2003,2321,136,53,118,112,201,358,243,175,227,279
2004,3389,200,142,98,86,317,539,278,255,389,541
2005,3318,184,145,153,188,353,500,261,219,318,434
2006,1892,121,97,73,93,204,235,85,176,186,154
2007,70130,5104,11569,5967,4516,6597,7550,4002,3374,4224,3466
2008,2387,121,43,112,90,201,330,228,236,338,316
2009,2276,102,71,104,119,164,316,195,182,341,345
2010,2601,80,108,131,153,231,374,140,229,261,402
2011,2457,83,123,122,155,238,316,247,203,275,234
2012,4106,182,182,155,206,406,547,360,313,470,536
2013,1932,91,74,78,45,175,296,137,158,221,335
2014,5951,244,317,305,341,646,812,405,429,568,572
2015,2680,98,35,169,120,197,375,226,182,347,566
2016,11679,531,729,751,699,1094,1273,614,525,545,389
2017,9607,480,387,423,503,1014,1255,857,798,1152,882
2018,8637,341,404,511,490,840,1444,865,601,781,666
2019,30059,1348,1788,2228,2025,3608,3946,2140,1806,2293,2013
2020,9986,467,716,660,695,1066,1247,645,537,598,463
2021,2971,89,156,142,128,267,436,248,260,434,433
2022,1822,51,98,64,99,175,231,180,177,216,160
2023,7050,261,360,352,386,727,1005,686,559,722,800
2024,4272,138,302,202,218,460,617,271,386,471,573
2025,11574,642,773,590,616,1268,1662,965,663,1033,1095
2026,5411,347,221,227,287,628,747,401,415,491,648
2027,2543,107,153,175,117,271,422,194,118,188,235
2028,16333,1325,1526,817,872,1620,2266,1386,977,1200,1323
2029,14657,852,993,894,847,1569,1865,933,622,862,599
2030,3883,192,206,190,199,417,565,332,294,421,338
2031,1403,56,39,69,38,116,234,122,103,190,182
2032,4420,286,322,295,266,514,522,183,177,222,102
2033,674,18,13,27,47,63,87,86,72,55,85
2034,30316,1369,2331,2441,2058,3358,3765,1819,1551,1717,2087
2035,1915,96,89,82,78,221,274,205,163,216,229
2036,21058,1183,1530,1246,1356,2233,2918,1701,1437,1753,1882
2037,2258,70,54,125,94,184,334,229,137,258,288
2038,8050,475,540,420,411,882,1104,618,521,709,800
2039,10920,533,584,502,608,1059,1630,854,801,1087,1191
2040,69628,3789,8444,6326,5000,7453,7707,3670,3161,4010,3939
2041,4089,147,221,157,151,387,600,342,295,542,668
2042,32916,1322,2360,3203,2326,3428,3736,2035,1486,1486,1556
2043,27926,1369,1540,1515,1537,3639,4022,2004,1889,2653,1857
2044,104157,6095,7941,6255,6243,12352,13942,7709,6600,8687,7584
2045,53299,3362,3888,2884,2855,6021,7217,3778,3415,4966,4013
2046,98622,4804,5816,5413,5386,12318,14716,7387,7037,9440,7342
2047,65563,7955,12877,4477,3496,6392,6964,3864,3026,4254,2898
